Record_ID,Paper_ID,Title,Authors,Year,Publication_Source,DOI_or_URL,Publication_Type,Abstract,Keywords,Thematic_Tags,RMP_Themes,RMP_Spatial_Themes,Method_Tags,Results_Summary,Data_Availability,Objective_I,Objective_II,Objective_III,Objective_IV,Objective_V,Objective_VI,Objective_VII,Objective_VIII,Objective_IX,Objective_X,Objective_XI,Management_zones,CCAMLR_Area,Monitoring_areas,Named_Features,Coordinates_Info,WKT_Geometry,Data_location,Research_start_date,Research_end_date,Temporal_Scale,Spatial_Scale,Proposing_party,Project_status,Funding_Source,Species_List,Primary_contact,CCAMLR_Objectives_Text
SYNTH_0021,SYN_021,Sediment transport and deposition patterns in Antarctic fjords,Kim JK; Thompson LM; Davis NO,2020,Marine Geology,10.1016/j.margeo.2020.106234,Journal article,"Multi-beam sonar mapping and sediment core analysis in Antarctic fjords revealed complex patterns of glacial sediment transport and deposition. Fjord systems show distinct zones of erosion, transport, and deposition related to glacial meltwater discharge and tidal currents. Sedimentation rates varied from 0.5-15 mm/year with highest rates near glacier termini. These findings provide insights into ice-ocean interactions and climate change impacts on coastal environments.",Sediment transport; Antarctic fjords; Glacial processes; Marine geology; Climate change; Coastal environments,9,9: Glacial sediment & habitat interactions,Continental shelf/slope (GPZ/SRZ),Acoustic Methods; Field Sampling; Laboratory Analysis,Characterized sediment transport patterns and glacial-marine interactions,Public (See article),0,1,1,0,1,0,0,0,0,0,1,GPZ,88.1,Fjord Research Zone,"Antarctic Fjords, Coastal Zone",-77.1 -164.8,"POLYGON ((-76.8 -166.0, -76.8 -163.5, -77.5 -163.5, -77.5 -166.0, -76.8 -166.0))",See article,2017,2019,Multi-year,Zone-wide,South Korea,Complete,Korean Polar Research Institute,Physical/Chemical study - no species focus,kim@kopri.re.kr,"(ii) scientific reference areas | (iii) promote research | (v) large-scale ecosystem processes/areas | (xi) climate change reference"
SYNTH_0022,SYN_022,Antifreeze protein evolution in Antarctic notothenioid fish,Patel PQ; Clarke RS; Evans TU,2018,Molecular Biology and Evolution,10.1093/molbev/msy156,Journal article,"Comparative genomic analysis of 45 Antarctic notothenioid fish species revealed rapid evolution of antifreeze glycoprotein (AFGP) genes following Antarctic glaciation. Phylogenetic reconstruction shows AFGP gene duplications occurred 15-20 million years ago, coinciding with Antarctic ice sheet formation. Gene expression analysis demonstrated tissue-specific regulation with highest expression in liver and blood. Results provide insights into adaptive evolution in extreme environments.",Antifreeze proteins; Notothenioid fish; Antarctic evolution; Genomics; Adaptive evolution; Extreme environments,19,19: Antarctic fish evolutionary adaptations,Continental shelf/slope (GPZ/SRZ),Genomic/Molecular; Phylogenetic Analysis; Laboratory Analysis,Elucidated evolutionary history and mechanisms of antifreeze protein adaptation,Public (GenBank),1,0,1,1,0,0,0,0,0,0,0,GPZ,88.1,Marine Fish Research Zone,"Continental Shelf, Marine Research Zone",-76.7 -171.2,"POLYGON ((-76.4 -172.5, -76.4 -170.0, -77.2 -170.0, -77.2 -172.5, -76.4 -172.5))",GenBank accession numbers provided,2015,2017,Multi-year,Zone-wide,Canada,Complete,Natural Sciences and Engineering Research Council,Notothenioidei,patel@ubc.ca,"(i) conserve natural ecological structure | (iii) promote research | (iv) representativeness of benthic and pelagic environments"
SYNTH_0023,SYN_023,Viral diversity and dynamics in Antarctic marine microbial communities,Brown VW; Anderson XY; Wilson ZA,2021,Environmental Microbiology,10.1111/1462-2920.15387,Journal article,"Metagenomic analysis of Antarctic marine waters revealed exceptional viral diversity with over 500 novel viral operational taxonomic units (vOTUs). Seasonal sampling showed strong correlations between viral abundance and bacterial production, with peak viral activity during summer phytoplankton blooms. Viral-mediated nutrient cycling contributed significantly to marine food webs. Novel cold-adapted viral mechanisms were identified with potential biotechnology applications.",Viral diversity; Marine microbiology; Metagenomics; Antarctic; Viral ecology; Biotechnology,3,3: Functional ecology processes,Continental shelf/slope (GPZ/SRZ),Genomic/Molecular; Field Sampling; Laboratory Analysis,Characterized viral diversity and ecological roles in Antarctic marine systems,Public (Sequence databases),1,0,1,1,1,0,0,1,0,0,0,GPZ,88.1,Marine Microbial Research Zone,"Marine Waters, Microbial Research Area",-75.6 -173.9,"POLYGON ((-75.3 -175.0, -75.3 -172.8, -76.0 -172.8, -76.0 -175.0, -75.3 -175.0))",Sequence database accessions provided,2018,2020,Multi-year,Zone-wide,UK,Complete,Natural Environment Research Council,Viral communities,brown@bas.ac.uk,"(i) conserve natural ecological structure | (iii) promote research | (iv) representativeness of benthic and pelagic environments | (v) large-scale ecosystem processes/areas"
SYNTH_0024,SYN_024,Bioluminescence patterns in Antarctic deep-sea organisms,Garcia BC; Taylor DE; Kim FG,2019,Journal of Experimental Marine Biology and Ecology,10.1016/j.jembe.2019.05.012,Journal article,"In-situ observations using deep-sea cameras documented bioluminescence in 78% of observed deep-sea organisms in Antarctic waters (depth 500-2000m). Bioluminescent displays varied among taxa, with cnidarians showing the highest diversity of light patterns. Temporal analysis revealed increased bioluminescent activity during dark winter months. Novel bioluminescent compounds were isolated from three species with potential biomedical applications.",Bioluminescence; Deep-sea; Antarctic; Marine organisms; Biochemistry; Photobiology,20,20: Deep-sea bioluminescence ecology,Continental shelf/slope (GPZ/SRZ),ROV Operations; Field Sampling; Laboratory Analysis,Documented bioluminescence patterns and biochemical mechanisms,Public (See article),1,0,1,1,0,0,0,0,0,0,0,GPZ,88.1,Deep-sea Research Zone,"Deep-sea Environment, Research Zone",-77.4 -176.3,"POLYGON ((-77.1 -177.5, -77.1 -175.0, -78.0 -175.0, -78.0 -177.5, -77.1 -177.5))",See article,2016,2018,Multi-year,Zone-wide,Japan,Complete,Japan Society for the Promotion of Science,Cnidaria; Deep-sea organisms,garcia@jamstec.go.jp,"(i) conserve natural ecological structure | (iii) promote research | (iv) representativeness of benthic and pelagic environments"
SYNTH_0025,SYN_025,Carbonate chemistry and calcification in Antarctic marine ecosystems,Lopez HI; Davis JK; Martinez LM,2020,Biogeosciences,10.5194/bg-17-4567-2020,Journal article,"Five-year monitoring of carbonate chemistry parameters across Antarctic marine ecosystems revealed significant spatial and temporal variability in ocean acidification indicators. pH values ranged from 7.8-8.2 with lowest values in deep waters and coastal regions with high freshwater input. Calcifying organisms showed reduced shell formation rates when pH dropped below 7.9. Results indicate vulnerability of Antarctic calcifiers to ongoing ocean acidification.",Ocean acidification; Carbonate chemistry; Calcification; Antarctic; Marine chemistry; Climate change,5,5: Ocean acidification impacts on calcifiers,Continental shelf/slope (GPZ/SRZ),Biogeochemical; Field Sampling; Laboratory Analysis,Quantified ocean acidification impacts on Antarctic marine calcifiers,Public (Data repository),1,0,1,0,1,0,0,0,0,0,1,GPZ,88.1,Marine Chemistry Monitoring Zone,"Marine Waters, Chemistry Monitoring Area",-76.1 -167.7,"POLYGON ((-75.8 -169.0, -75.8 -166.4, -76.6 -166.4, -76.6 -169.0, -75.8 -169.0))",Data repository link provided,2014,2019,Multi-year,Zone-wide,Germany,Complete,Alfred Wegener Institute,Calcifying organisms,lopez@awi.de,"(i) conserve natural ecological structure | (iii) promote research | (v) large-scale ecosystem processes/areas | (xi) climate change reference"
SYNTH_0026,SYN_026,Seasonal migration patterns of Antarctic seabirds,Chen NP; Wilson QR; Anderson ST,2018,Polar Biology,10.1007/s00300-018-2345-6,Journal article,"GPS tracking of 156 Antarctic seabirds across 8 species revealed complex seasonal migration patterns extending thousands of kilometers from breeding colonies. Adelie penguins showed consistent northward migration to pack ice regions during winter, while skuas exhibited more variable movement patterns. Migration timing was correlated with sea ice extent and prey availability. Results provide critical data for marine spatial planning and conservation efforts.",Antarctic seabirds; Migration; GPS tracking; Seasonal movement; Conservation; Marine spatial planning,16,16: Seabird migration & distribution patterns,Continental shelf/slope (GPZ/SRZ),Tagging/Tracking; Remote Sensing; Statistical Analysis,Characterized seasonal migration patterns and conservation implications,Public (Movement database),1,0,1,0,0,0,1,1,0,0,0,GPZ,88.1,Seabird Migration Zone,"Breeding Colonies, Migration Routes",-74.8 -162.5,"POLYGON ((-74.5 -164.0, -74.5 -161.0, -75.5 -161.0, -75.5 -164.0, -74.5 -164.0))",Movement database available,2014,2017,Multi-year,RSRMPA-wide,Chile,Complete,Chilean Antarctic Institute,Pygoscelis adeliae; Stercorarius spp.,chen@inach.cl,"(i) conserve natural ecological structure | (iii) promote research | (vii) key top predator foraging distributions | (viii) coastal/localized areas of particular ecosystem importance"
SYNTH_0027,SYN_027,Trophic cascades in Antarctic marine food webs,Taylor UV; Kim WX; Roberts YZ,2019,Ecological Monographs,10.1002/ecm.1367,Journal article,"Long-term analysis of Antarctic marine food web data (1990-2017) revealed evidence of trophic cascades following changes in top predator abundance. Reductions in leopard seal populations correlated with increases in krill-feeding fish abundance, which subsequently affected phytoplankton communities. Network analysis identified key species with disproportionate influence on food web stability. Results highlight the importance of top predators in maintaining ecosystem structure.",Trophic cascades; Food webs; Antarctic marine ecology; Top predators; Ecosystem stability; Network analysis,22,22: Trophic cascade effects,Continental shelf/slope (GPZ/SRZ),Statistical Analysis; Long-term Monitoring; Modeling,Demonstrated trophic cascade effects and ecosystem connectivity,Public (See article),1,0,1,0,1,1,1,1,0,0,0,GPZ,88.1,Marine Food Web Research Zone,"Marine Ecosystem, Food Web Research Area",-76.0 -174.6,"POLYGON ((-75.7 -176.0, -75.7 -173.2, -76.5 -173.2, -76.5 -176.0, -75.7 -176.0))",See article,1990,2017,Decadal,Zone-wide,Argentina,Complete,Argentine Antarctic Institute,Hydrurga leptonyx; Multiple trophic levels,taylor@dna.gov.ar,"(i) conserve natural ecological structure | (iii) promote research | (v) large-scale ecosystem processes/areas | (vii) key top predator foraging distributions"
SYNTH_0028,SYN_028,Microplastic pollution in Antarctic marine environments,Anderson AB; Garcia CD; Wilson EF,2021,Marine Pollution Bulletin,10.1016/j.marpolbul.2021.112345,Journal article,"Comprehensive sampling across Antarctic marine environments detected microplastics in 89% of water samples and 67% of sediment samples. Concentrations were highest near research stations and shipping routes. Marine organisms showed evidence of microplastic ingestion, with highest levels in filter-feeding species. Polymer analysis revealed polyethylene and polypropylene as dominant plastic types. Results indicate widespread microplastic contamination even in remote Antarctic regions.",Microplastics; Marine pollution; Antarctic; Contamination; Marine organisms; Environmental impact,23,23: Pollution impacts on marine life,Continental shelf/slope (GPZ/SRZ),Field Sampling; Laboratory Analysis; Chemical Analysis,Documented widespread microplastic contamination and biological impacts,Public (See article),1,0,1,0,0,0,0,1,0,0,1,GPZ,88.1,Marine Pollution Monitoring Zone,"Research Stations, Shipping Routes, Marine Waters",-75.2 -168.1,"POLYGON ((-74.9 -169.5, -74.9 -166.7, -75.7 -166.7, -75.7 -169.5, -74.9 -169.5))",See article,2018,2020,Multi-year,Zone-wide,Netherlands,Complete,Netherlands Polar Programme,Multiple marine species,anderson@nioz.nl,"(i) conserve natural ecological structure | (iii) promote research | (viii) coastal/localized areas of particular ecosystem importance | (xi) climate change reference"
SYNTH_0029,SYN_029,Reproductive success of Antarctic fish under warming scenarios,Brown GH; Davis IJ; Taylor KL,2020,Global Change Biology,10.1111/gcb.15123,Journal article,"Laboratory and field studies examined reproductive success of key Antarctic fish species under projected warming scenarios (+1°C, +2°C, +3°C). Egg survival decreased significantly at temperatures above 2°C warming for most species. Notothenia coriiceps showed greatest thermal tolerance while Trematomus bernacchii was most sensitive. Spawning timing shifted earlier by 2-3 weeks under warming conditions. Results suggest differential species responses to climate change with implications for community structure.",Antarctic fish; Climate change; Reproductive success; Temperature tolerance; Spawning; Community structure,24,24: Climate change impacts on fish reproduction,Continental shelf/slope (GPZ/SRZ),Experimental; Laboratory Analysis; Field Sampling,Assessed climate change impacts on fish reproductive success,Public (See article),1,0,1,0,1,0,0,0,0,0,1,GPZ,88.1,Fish Climate Research Zone,"Marine Waters, Climate Research Area",-76.8 -172.1,"POLYGON ((-76.5 -173.5, -76.5 -170.7, -77.3 -170.7, -77.3 -173.5, -76.5 -173.5))",See article,2017,2019,Multi-year,Zone-wide,Norway,Complete,Research Council of Norway,Notothenia coriiceps; Trematomus bernacchii,brown@unis.no,"(i) conserve natural ecological structure | (iii) promote research | (v) large-scale ecosystem processes/areas | (xi) climate change reference"
SYNTH_0030,SYN_030,Ecosystem services provided by Antarctic marine protected areas,Peterson MN; Lopez OP; Kim QR,2021,Ecosystem Services,10.1016/j.ecoser.2021.101234,Journal article,"Economic valuation of ecosystem services provided by Antarctic marine protected areas estimated total value at $145-287 billion annually. Carbon sequestration represented the largest service ($89-156 billion), followed by climate regulation ($34-78 billion) and scientific research value ($15-32 billion). Biodiversity conservation and fisheries protection provided additional benefits. Cost-benefit analysis strongly supports continued protection and expansion of marine protected areas in Antarctic regions.",Ecosystem services; Marine protected areas; Economic valuation; Antarctic; Conservation; Carbon sequestration,25,25: Economic value of marine protection,Entire RSR,Modeling; Statistical Analysis; Economic Analysis,Quantified economic value of Antarctic marine ecosystem services,Public (See article),1,1,1,1,1,1,1,1,1,1,1,GPZ KRZ SRZ,88.1,Antarctic Marine Protected Area Zone,"Marine Protected Areas, Antarctic Region",-75.0 -175.0,"POLYGON ((-74.0 -180.0, -74.0 -170.0, -78.0 -170.0, -78.0 -180.0, -74.0 -180.0))",See article,2018,2020,Multi-year,RSRMPA-wide,International,Complete,International Antarctic Treaty,Marine ecosystem services,peterson@antarctica-treaty.org,"(i) conserve natural ecological structure | (ii) scientific reference areas | (iii) promote research | (iv) representativeness of benthic and pelagic environments | (v) large-scale ecosystem processes/areas | (vi) trophically dominant pelagic prey species | (vii) key top predator foraging distributions | (viii) coastal/localized areas of particular ecosystem importance | (ix) toothfish life cycle areas | (x) rare or vulnerable marine habitats | (xi) climate change reference"
